Date,Time,AC Penrose NO_MCG 1h average [痢/m設,AC Penrose NO2_MCG 1h average [痢/m設,AC Penrose NOX_MCG 1h average [痢/m設,AC Penrose PM10 1h average [痢/m設,AC Penrose PM2.5 1h average [痢/m設,AC Penrose RH 1h average [%],AC Penrose SO2_MCG 1h average [痢/m設,AC Penrose TEMP 1h average [蚓],AC Penrose WDR 1h average [財,AC Penrose WSP 1h average [m/s]
1/01/2024,1:00,,,,28.48,,84.683,2.218,18.98,249.42,2.733
1/01/2024,2:00,1.123,4.513,5.637,22.05,,85.95,1.942,18.5,253.13,1.883
1/01/2024,3:00,0.659,2.634,3.293,13.517,,84.05,2.407,18.47,250.13,2.317
1/01/2024,4:00,0.793,1.315,2.108,15.317,,78.767,2.587,18.43,238.02,4
1/01/2024,5:00,0.737,1.254,1.991,11.8,,70.7,3.087,18.37,233.23,4.75
1/01/2024,6:00,1.005,1.411,2.416,20.917,,65.767,2.431,18.28,227.27,5.05
1/01/2024,7:00,1.671,1.794,3.464,12.733,,62.417,2.269,18.57,218.85,5.333
1/01/2024,8:00,1.941,1.743,3.683,14.367,,61.133,2.992,18.83,224.83,5.433
1/01/2024,9:00,2.14,2.026,4.166,8.85,,57.217,1.884,19.28,222.73,5.617
1/01/2024,10:00,2.633,2.057,4.69,13.55,,52.633,1.992,19.87,217.48,5.9
1/01/2024,11:00,3.187,2.6,5.787,14.817,,50.983,2.599,19.9,225.95,5.783
1/01/2024,12:00,3.448,2.648,6.096,11.8,,48.683,0.859,19.9,225.2,5.683
1/01/2024,13:00,3.011,2.293,5.303,11.75,,50.317,2.195,19.93,225.43,5.917
1/01/2024,14:00,3.491,2.918,6.409,3.917,,45.65,0.321,20.42,216.03,5.2
1/01/2024,15:00,2.772,2.405,5.177,22.017,,47.65,,20.13,218.88,5.183
1/01/2024,16:00,3.216,2.791,6.007,19.683,,48.783,,19.97,215.25,5.2
1/01/2024,17:00,3.267,3.253,6.52,14.733,,52.05,0.836,19.72,215.65,4.967
1/01/2024,18:00,3.377,3.222,6.599,13.383,,46.7,2.814,19.55,215.45,5.067
1/01/2024,19:00,3.678,3.885,7.563,13.817,,52.85,1.985,18.83,216.42,4.933
1/01/2024,20:00,2.687,4.08,6.766,16.217,,59.567,2.16,17.93,213.52,4.617
1/01/2024,21:00,2.93,5.364,8.294,15.867,,61.767,1.579,17.3,213.72,3.233
1/01/2024,22:00,3.042,6.721,9.762,27.05,,63.183,2.452,16.83,211.87,2.717
1/01/2024,23:00,2.191,5.723,7.914,11.667,,65.133,3.003,16.62,215.22,2.517
1/01/2024,24:00:00,1.315,4.339,5.655,22.4,,63.633,1.821,16.73,211.5,2.033
2/01/2024,1:00,1.146,6.806,7.952,19.88,,66.483,,16.42,200.15,1.867
2/01/2024,2:00,0.759,5.327,6.086,17.183,,62.433,1.106,16.55,203.93,2.2
2/01/2024,3:00,0.98,6.102,7.083,11.117,,65.767,3.452,16.2,184.12,1.367
2/01/2024,4:00,1.724,10.195,11.919,14.367,,71.9,2.167,15.28,158.97,1.05
2/01/2024,5:00,3.426,13.045,16.471,24.467,,73.067,1.042,15,170.88,1
2/01/2024,6:00,6.655,17.589,24.244,17.067,,72.08,2.864,14.66,138.3,0.817
2/01/2024,7:00,10.673,14.046,24.719,2.75,,66.017,2.074,16.07,137.95,1.1
2/01/2024,8:00,23.707,12.778,36.485,22.45,,,10.549,,,
2/01/2024,9:00,12.786,8.033,20.818,20.65,,57.35,13.64,18.18,178.6,2.367
2/01/2024,10:00,14.767,8.583,23.349,22.35,,53.74,13.554,18.98,178.18,2.04
2/01/2024,11:00,5.235,5.754,10.989,11.55,,50.8,5.092,19.78,206.97,2.117
2/01/2024,12:00,4.643,5.005,9.649,30.033,,,6.764,,226.67,3.567
2/01/2024,13:00,2.841,3.529,6.37,30.05,,,9.122,,,
2/01/2024,14:00,3.254,3.362,6.616,10.017,,,3.507,,,
2/01/2024,15:00,3.922,3.458,7.379,18.483,,51.167,2.735,20.65,229.07,5.233
2/01/2024,16:00,3.611,2.867,6.478,14.567,,49.967,2.219,20.57,223.98,4.8
2/01/2024,17:00,3.879,3.444,7.323,6.2,,53.833,2.512,20.2,216.3,4.667
2/01/2024,18:00,3.547,3.311,6.857,6.033,,,3.43,,,
2/01/2024,19:00,3.484,3.236,6.72,10.517,,,3.829,,,
2/01/2024,20:00,2.807,3.55,6.357,9,,68.56,2.508,17.82,210.36,4.26
2/01/2024,21:00,3.562,6.635,10.197,3.333,,67.35,2.555,17.57,209.45,3.05
2/01/2024,22:00,3.174,10.766,13.939,10.433,,69.12,1.663,17.46,207.2,2.12
2/01/2024,23:00,2.09,9.847,11.937,7.667,,72.22,,16.9,,
2/01/2024,24:00:00,1.563,9.72,11.284,11.75,,73.9,,16.3,178.23,1.017
3/01/2024,1:00,,,,17.32,,75.7,1.582,15.92,220.73,0.967
3/01/2024,2:00,1.05,10.79,11.84,6.9,,,0.359,,,
3/01/2024,3:00,1.994,12.303,14.298,16.9,,74.34,2.079,15.24,142.62,0.54
3/01/2024,4:00,7.517,21.347,28.865,16.55,,75.35,2.768,15.03,144.8,0.36
3/01/2024,5:00,11.417,24.573,35.989,1.483,,76.65,2.015,14.5,71.4,0.283
3/01/2024,6:00,16.549,27.323,43.872,7.783,,74.867,1.972,14.82,139.8,0.333
3/01/2024,7:00,9.096,24.938,34.035,3.767,,65.9,9.598,16.2,118.03,0.917
3/01/2024,8:00,14.153,24.152,38.305,13.367,,62.033,3.109,17.4,192.92,1.017
3/01/2024,9:00,13.277,13.882,27.159,14.35,,58.9,5.519,18.47,213.87,1.75
3/01/2024,10:00,13.967,12.963,26.93,9.867,,50.6,10.251,19.83,176.28,2.25
3/01/2024,11:00,18.572,12.799,31.371,18.833,,50.817,14.301,20.38,173.23,2.8
3/01/2024,12:00,8.096,9.215,17.311,10.15,,51.883,3.752,20.97,209.07,3.117
3/01/2024,13:00,6.642,6.594,13.236,10.25,,59.233,2.58,20.8,235.03,4.783
3/01/2024,14:00,5.778,4.797,10.575,8.917,,57.933,2.624,21.15,234.65,4.817
3/01/2024,15:00,7.006,5.361,12.367,2.833,,55.017,1.862,21.88,221.9,4.8
3/01/2024,16:00,5.766,4.701,10.468,14.9,,61.65,3.258,21.13,233.05,5.133
3/01/2024,17:00,5.273,3.987,9.26,5.833,,64.017,2.035,21.03,229,4.833
3/01/2024,18:00,5.737,4.79,10.528,-1.583,,64.34,1.748,20.76,213.34,3.68
3/01/2024,19:00,5.429,5.952,11.381,11.983,,67.033,1.159,20.1,210.38,3.45
3/01/2024,20:00,5.094,6.584,11.678,10.8,,70.02,3.285,19.42,207.52,3.04
3/01/2024,21:00,6.745,12.683,19.427,4.65,,71.4,3.567,18.97,209.97,2.183
3/01/2024,22:00,5.016,13.984,19,3.75,,,2.062,,,
3/01/2024,23:00,4.715,14.261,18.976,8.35,,,,,,
3/01/2024,24:00:00,3.734,13.428,17.162,10.867,,,1.244,,,
4/01/2024,1:00,2.658,8.497,11.155,11.78,,74.867,,18.28,202.45,1.7
4/01/2024,2:00,2.807,10.315,13.122,5.417,,75.9,2.444,18.17,187.23,1.25
4/01/2024,3:00,1.927,8.955,10.882,17.25,,78.283,2.89,17.67,145.82,1.25
4/01/2024,4:00,3.346,10.988,14.334,3.633,,78.217,1.058,17.53,147.98,1.417
4/01/2024,5:00,5.273,14.804,20.077,15.45,,,1.8,,,
4/01/2024,6:00,14.593,21.173,35.766,11.633,,,3.089,,,
4/01/2024,7:00,16.607,17.237,33.844,4.917,,77.017,3.314,17.55,141.65,2.117
4/01/2024,8:00,30.577,20.777,51.353,7.033,,70.667,11.428,18.72,133.8,1.717
4/01/2024,9:00,22.874,14.859,37.733,13.1,,62.967,18.869,20.08,190.13,1.35
4/01/2024,10:00,10.414,13.738,24.152,18.25,,60.94,6.89,20.7,155.48,1.06
4/01/2024,11:00,3.091,6.147,9.238,14.017,,59.133,3.886,21.35,152.08,1.283
4/01/2024,12:00,0.666,1.917,2.582,-0.56,,55.65,3.152,22.42,139.77,1.867
4/01/2024,13:00,0.409,1.257,1.666,11.917,,53.95,2.116,22.93,68.33,2.75
4/01/2024,14:00,0.567,1.309,1.876,12.1,,53.7,2.449,23.05,294.22,3.217
4/01/2024,15:00,0.612,1.073,1.685,3.883,,52.183,2.233,23.3,289.7,3.567
4/01/2024,16:00,0.679,1.367,2.046,18.983,,57.3,2.554,22.55,291.53,3.967
4/01/2024,17:00,0.601,2.296,2.897,14.8,,64.767,2.773,21.7,296.53,3.25
4/01/2024,18:00,0.603,2.487,3.09,6.283,,68.783,3.123,21.35,65.03,2.667
4/01/2024,19:00,2.023,7.746,9.769,8.167,,66.733,2.28,21.13,4.82,2.5
4/01/2024,20:00,0.384,3.765,4.149,7.583,,65.65,2.318,20.73,67.58,2.117
4/01/2024,21:00,0.205,4.705,4.91,12.967,,69.533,3.658,20.23,169.6,1.05
4/01/2024,22:00,2.354,9.83,12.184,7.817,,71.35,2.889,19.88,251.6,0.683
4/01/2024,23:00,4.033,15.71,19.743,2.5,,72.05,3.3,19.38,232.87,1.433
4/01/2024,24:00:00,3.198,18.867,22.065,13.9,,71.833,3.021,18.93,202.03,0.85
5/01/2024,1:00,,,,19.1,,71.083,2.82,18.52,172.2,0.567
5/01/2024,2:00,0.583,16.462,17.044,13.45,,75.3,2.494,17.93,167.88,0.35
5/01/2024,3:00,1.164,17.364,18.527,10.067,,78.35,2.463,17.43,162.15,0.35
5/01/2024,4:00,2.979,20.671,23.65,7.617,,78.867,2.353,17.55,124.8,0.467
5/01/2024,5:00,6.265,20.982,27.246,13.283,,79.317,2.91,17.3,77.68,0.383
